№,▼▲,ФИО,Клуб,AG,Место в AG,Империал Индор Триатлон,Зимний триатлон. Логойск,Зимний дуатлон. Логойск,Минск Индор Триатлон,Дуатлон. Дрогичин,Триатлон МогиЛев,Олимпийка. Брест,Кросс-триатлон. У Ганны,Спринт. Гомель,Спринт. Святск,Полная. Минский Триатлон,Половинка. Минский Триатлон,Олимпийка. Минский Триатлон,Спринт. Минский Триатлон,Сумма
101,▼8,Родионов Виталий Васильевич,Tristyle,45-49,13,,,,,,,,,,,,,,,0.00
101,▼8,Автушко Денис Владимирович,,45-49,13,,,,,,,,,,,,,,,0.00
101,▼8,Буковец Анатолий Семенович,ТРИ-О,60+,3,,,,,,,,,,,,,,,0.00
101,▼8,Свирский Александр Фелексович,SQMINSK,40-44,31,,,,,,,,,,,,,,,0.00
101,▼8,Полегенький Владимир Владимирович,SQMINSK,40-44,31,,,,,,,,,,,,,,,0.00
101,▼8,Тучковский Анджей Тадикович,SQMINSK,35-39,28,,,,,,,,,,,,,,,0.00
101,▼8,Плодунов Захар Сергеевич,Tristyle,30-34,11,,,,,,,,,,,,,,,0.00
101,▼8,Селятыцкий Александр Вячеславович,SQMINSK,45-49,13,,,,,,,,,,,,,,,0.00
101,▼8,Курчевский Евгений Александрович,TriStyle,35-39,28,,,,,,,,,,,,,,,0.00
101,▼8,Русович Игорь Войтехович,-,50-54,4,,,,,,,,,,,,,,,0.00
101,▼8,Юрченко Юрий Владимирович,-,35-39,28,,,,,,,,,,,,,,,0.00
101,▼8,Ворожбит Станислав Михайлович,ALTIUS!,40-44,31,,,,,,,,,,,,,,,0.00
101,▼8,Жданович Виталий Владимирович,TriStyle,35-39,28,,,,,,,,,,,,,,,0.00
101,▼8,Короткевич Юрий Александрович,-,35-39,28,,,,,,,,,,,,,,,0.00
101,▼8,Улевич Андрей Станиславович,нет,55-59,4,,,,,,,,,,,,,,,0.00
101,▼8,Матин Ярослав Васильевич,нет,55-59,4,,,,,,,,,,,,,,,0.00
101,▼8,Иордан Андрей Олегович,Tristyle,30-34,11,,,,,,,,,,,,,,,0.00
